  S0     S1     E      O      M     CCS    YGC     YGCT     FGC    FGCT     CGC    CGCT       GCT   
     -  51.15  98.28  89.93  88.22  83.69    108     8.644     3     3.442    28     0.023    12.110
     -  51.15  98.28  89.93  88.22  83.69    108     8.644     3     3.442    28     0.023    12.110
     -  51.15  98.28  89.93  88.22  83.69    108     8.644     3     3.442    28     0.023    12.110
     -  51.15  98.28  89.93  88.22  83.69    108     8.644     3     3.442    28     0.023    12.110
     -  51.15  98.28  89.93  88.22  83.69    108     8.644     3     3.442    28     0.023    12.110
     -  51.15  98.28  89.93  88.22  83.69    108     8.644     3     3.442    28     0.023    12.110
     -  51.15  98.28  89.93  88.22  83.69    108     8.644     3     3.442    28     0.023    12.110
     -  51.15  98.28  89.93  88.22  83.69    108     8.644     3     3.442    28     0.023    12.110
     -  51.15  98.37  89.93  88.22  83.69    108     8.644     4     3.442    28     0.023    12.110
     -      -  63.45  89.80  88.25  83.69    108     8.644     4     4.532    28     0.023    13.200
     -  78.09   5.21  89.80  88.18  83.69    110     8.653     4     4.532    28     0.023    13.208
     -  86.89  42.61  89.80  88.19  83.69    111     8.658     4     4.532    28     0.023    13.213
     -  98.69  90.28  89.80  88.19  83.69    112     8.662     4     4.532    28     0.023    13.218
     -  96.78  37.22  89.80  88.21  83.69    114     8.673     4     4.532    28     0.023    13.229
     -  98.83  83.83  89.80  88.21  83.69    115     8.678     4     4.532    28     0.023    13.234
     -  88.59  53.05  89.80  88.21  83.69    117     8.691     4     4.532    28     0.023    13.247
     -  93.80  37.87  89.80  88.21  83.69    119     8.705     4     4.532    28     0.023    13.260
     -  89.47  99.48  89.80  88.21  83.69    120     8.711     4     4.532    28     0.023    13.267
     -  98.07  63.70  89.80  88.21  83.69    122     8.725     4     4.532    28     0.023    13.280
     -  99.76  34.09  89.81  88.21  83.69    124     8.741     4     4.532    29     0.025    13.298
     -  89.60  94.05  89.74  88.21  83.69    125     8.749     4     4.532    29     0.025    13.306
     -  97.50  83.39  89.83  88.21  83.69    127     8.764     4     4.532    29     0.025    13.321
     -  91.01  93.89  90.04  88.21  83.69    129     8.780     4     4.532    30     0.025    13.337
     -  90.80  52.62  89.98  88.21  83.69    131     8.795     4     4.532    30     0.025    13.352
     -  96.10  16.78  90.04  88.21  83.69    133     8.810     4     4.532    30     0.025    13.368
     -  92.95  72.38  90.07  88.21  83.69    134     8.818     4     4.532    30     0.025    13.375
     -  92.31   2.63  90.01  88.21  83.69    136     8.833     4     4.532    30     0.025    13.390
     -  92.71  66.37  90.04  88.21  83.69    137     8.840     4     4.532    30     0.025    13.397
     -  99.21  28.37  90.11  88.21  83.69    139     8.856     4     4.532    30     0.025    13.413
     -  89.12  95.25  90.00  88.21  83.69    140     8.865     4     4.532    30     0.025    13.422
     -  96.04  60.70  90.07  88.21  83.69    142     8.881     4     4.532    30     0.025    13.438
     -  92.60  20.88  90.13  88.21  83.69    144     8.895     4     4.532    30     0.025    13.453
     -  92.95  92.62  90.02  88.21  83.69    145     8.903     4     4.532    31     0.026    13.461
     -  87.59  81.16  90.09  88.21  83.69    147     8.920     4     4.532    31     0.026    13.478
     -  94.48  80.99  90.15  88.21  83.69    149     8.937     4     4.532    32     0.026    13.495
     - 100.00  24.96  90.23  88.21  83.69    151     8.952     4     4.532    32     0.026    13.511
     - 100.00  29.88  90.23  88.21  83.69    151     8.952     4     4.532    32     0.026    13.511
     - 100.00  29.88  90.23  88.21  83.69    151     8.952     4     4.532    32     0.026    13.511
     - 100.00  29.88  90.23  88.23  83.69    151     8.952     4     4.532    33     0.027    13.512
     - 100.00  29.88  90.23  88.23  83.69    151     8.952     4     4.532    34     0.027    13.512
