  S0     S1     E      O      M     CCS    YGC     YGCT     FGC    FGCT     CGC    CGCT       GCT   
     -      -   0.56  90.43  87.66  82.79    113     7.614     2     2.794     6     0.007    10.415
     -      -   0.56  90.43  87.66  82.79    113     7.614     2     2.794     6     0.007    10.415
     -      -   0.56  90.43  87.66  82.79    113     7.614     2     2.794     6     0.007    10.415
     -      -   0.56  90.43  87.66  82.79    113     7.614     2     2.794     6     0.007    10.415
     -      -   0.83  90.43  87.66  82.79    113     7.614     3     2.794     6     0.007    10.415
     -      -   5.38  90.30  87.91  83.40    113     7.614     3     3.853     6     0.007    11.474
     -      -  11.87  90.30  87.91  83.40    113     7.614     3     3.853     6     0.007    11.474
     -      -  17.81  90.30  87.91  83.40    113     7.614     3     3.853     6     0.007    11.474
     -      -  23.19  90.30  87.91  83.40    113     7.614     3     3.853     6     0.007    11.474
     -      -  29.31  90.30  87.91  83.40    113     7.614     3     3.853     6     0.007    11.474
     -      -  35.81  90.30  87.91  83.40    113     7.614     3     3.853     6     0.007    11.474
     -      -  40.26  90.30  87.91  83.40    113     7.614     3     3.853     6     0.007    11.474
     -      -  45.08  90.30  87.91  83.40    113     7.614     3     3.853     6     0.007    11.474
     -      -  50.09  90.30  87.91  83.40    113     7.614     3     3.853     6     0.007    11.474
     -      -  53.99  90.30  87.91  83.40    113     7.614     3     3.853     6     0.007    11.474
     -      -  59.00  90.30  87.91  83.40    113     7.614     3     3.853     6     0.007    11.474
     -      -  62.89  90.30  87.91  83.40    113     7.614     3     3.853     6     0.007    11.474
     -      -  66.98  90.30  87.91  83.40    113     7.614     3     3.853     6     0.007    11.474
     -      -  71.06  90.30  87.91  83.40    113     7.614     3     3.853     6     0.007    11.474
     -      -  71.99  90.30  87.91  83.40    113     7.614     3     3.853     6     0.007    11.474
     -      -  71.99  90.30  87.91  83.40    113     7.614     3     3.853     6     0.007    11.474
     -      -  71.99  90.30  87.91  83.40    113     7.614     3     3.853     6     0.007    11.474
     -      -  71.99  90.30  87.91  83.40    113     7.614     3     3.853     6     0.007    11.474
     -      -  71.99  90.30  87.91  83.40    113     7.614     3     3.853     6     0.007    11.474
     -      -  71.99  90.30  87.91  83.40    113     7.614     3     3.853     6     0.007    11.474
     -      -  71.99  90.30  87.91  83.40    113     7.614     3     3.853     6     0.007    11.474
     -      -  72.17  90.30  87.91  83.40    113     7.614     4     3.853     6     0.007    11.474
